Address,Postcode,KT1/KT2,Sale_price,Bedrooms,House_type,Freehold/leasehold,Res_new/old,Stationdist_miles,Sale_date,Sale_year,Sale_month,Latitude,Longitude,Easting,Northing,Ward,Introduced,Altitude
"18, Tudor Drive",KT2 5PZ,KT2,726000,3,Semi-Detached,Freehold,Residential,1.1,23-Oct-15,2015,10,51.429683000000004,-0.30496799999999996,517934,171438,Tudor,01-1980,11
"10, Tudor Drive",KT2 5PZ,KT2,710000,3,Semi-Detached,Freehold,Residential,1.1,16-Oct-15,2015,10,51.429683000000004,-0.30496799999999996,517934,171438,Tudor,01-1980,11
"8, Tudor Drive",KT2 5PZ,KT2,950000,4,Semi-Detached,Freehold,Residential,1.1,29-Nov-16,2016,11,51.429683000000004,-0.30496799999999996,517934,171438,Tudor,01-1980,11
"11, Aragon Road",KT2 5QA,KT2,577000,3,Semi-Detached,Freehold,Residential,1.1,19-Dec-14,2014,12,51.428535,-0.303299,518053,171313,Tudor,01-1980,11
"15, Aragon Road",KT2 5QA,KT2,679950,3,Terraced,Freehold,Residential,1.1,31-Mar-16,2016,3,51.428535,-0.303299,518053,171313,Tudor,01-1980,11
"19, Aragon Road",KT2 5QA,KT2,575000,3,Terraced,Freehold,Residential,1.1,26-Aug-16,2016,8,51.428535,-0.303299,518053,171313,Tudor,01-1980,11
"47, Aragon Road",KT2 5QB,KT2,625000,3,Terraced,Freehold,Residential,1.0,03-Sep-15,2015,9,51.427908,-0.302215,518130,171245,Tudor,01-1980,11
"61, Aragon Road",KT2 5QB,KT2,595000,2,Semi-Detached,Freehold,Residential,1.0,26-Aug-16,2016,8,51.427908,-0.302215,518130,171245,Tudor,01-1980,11
"49, Aragon Road",KT2 5QB,KT2,745000,3,Terraced,Freehold,Residential,1.0,16-Oct-17,2017,10,51.427908,-0.302215,518130,171245,Tudor,01-1980,11
"4, Aragon Road",KT2 5QE,KT2,625000,3,Terraced,Freehold,Residential,1.0,14-Oct-15,2015,10,51.428571000000005,-0.303902,518011,171316,Tudor,01-1980,11
"14, Aragon Road",KT2 5QE,KT2,830000,4,Semi-Detached,Freehold,Residential,1.0,30-Mar-17,2017,3,51.428571000000005,-0.303902,518011,171316,Tudor,01-1980,11
"78, Tudor Drive",KT2 5QF,KT2,825000,3,Semi-Detached,Freehold,Residential,1.1,31-May-18,2018,5,51.428443,-0.30190700000000004,518150,171305,Tudor,01-1980,11
"108, Tudor Drive",KT2 5QF,KT2,655000,3,Semi-Detached,Freehold,Residential,1.1,17-Mar-16,2016,3,51.428443,-0.30190700000000004,518150,171305,Tudor,01-1980,11
"90, Tudor Drive",KT2 5QF,KT2,822500,4,Semi-Detached,Freehold,Residential,1.1,19-Sep-16,2016,9,51.428443,-0.30190700000000004,518150,171305,Tudor,01-1980,11
"56, Tudor Drive",KT2 5QF,KT2,835000,4,Semi-Detached,Freehold,Residential,1.1,22-Feb-17,2017,2,51.428443,-0.30190700000000004,518150,171305,Tudor,01-1980,11
"114, Tudor Drive",KT2 5QF,KT2,690000,3,Semi-Detached,Freehold,Residential,1.1,24-Jul-17,2017,7,51.428443,-0.30190700000000004,518150,171305,Tudor,01-1980,11
"58, Tudor Drive",KT2 5QF,KT2,680000,4,Semi-Detached,Freehold,Residential,1.1,28-Feb-14,2014,2,51.428443,-0.30190700000000004,518150,171305,Tudor,01-1980,11
"98, Tudor Drive",KT2 5QF,KT2,745000,3,Semi-Detached,Freehold,Residential,1.1,16-Mar-18,2018,3,51.428443,-0.30190700000000004,518150,171305,Tudor,01-1980,11
"116, Tudor Drive",KT2 5QF,KT2,615000,3,Semi-Detached,Freehold,Residential,1.1,07-Jul-14,2014,7,51.428443,-0.30190700000000004,518150,171305,Tudor,01-1980,11
